name,url,dob,weight,reach,height,stance
Raquel Pa'aluhi,http://ufcstats.com/fighter-details/373be586f370d400,--,135 lbs.,--,"5' 7""",
Jose Palacios,http://ufcstats.com/fighter-details/de20ffb3fc2e7629,--,145 lbs.,--,"5' 9""",Orthodox
Luis Pajuelo,http://ufcstats.com/fighter-details/e530df53922f413e,"Dec 12, 1994",145 lbs.,--,--,
Karo Parisyan,http://ufcstats.com/fighter-details/349aaa3da11eb587,"Aug 28, 1982",170 lbs.,"72""","5' 10""",Orthodox
Cristian Quinonez,http://ufcstats.com/fighter-details/7debc13b36343605,"Apr 26, 1996",135 lbs.,"70""","5' 8""",Orthodox
Cory Peterson,http://ufcstats.com/fighter-details/5df10509264586e5,--,400 lbs.,--,"6' 11""",Orthodox
Erik Perez,http://ufcstats.com/fighter-details/af62f99eb7606308,"Nov 19, 1989",135 lbs.,"68""","5' 8""",Orthodox
Ryan Madigan,http://ufcstats.com/fighter-details/a8d521d913df4e31,--,170 lbs.,--,"6' 0""",Orthodox
BJ Penn,http://ufcstats.com/fighter-details/73c7cfa551289285,"Dec 13, 1978",155 lbs.,"70""","5' 9""",Orthodox
Cole Province,http://ufcstats.com/fighter-details/2a470ad41c22c25a,"Jan 17, 1981",145 lbs.,"68""","5' 9""",Orthodox
Ibragim Magomedov,http://ufcstats.com/fighter-details/e7e970d508529bf3,--,250 lbs.,--,"6' 0""",Orthodox
Don Madge,http://ufcstats.com/fighter-details/68c7ad953455c73f,"Nov 12, 1990",155 lbs.,"72""","6' 0""",Southpaw
Levan Makashvili,http://ufcstats.com/fighter-details/938ad489fb7a1f31,"Jan 07, 1989",145 lbs.,"68""","5' 8""",Orthodox
Mo Miller,http://ufcstats.com/fighter-details/39019970ac8543e9,"Aug 10, 1992",135 lbs.,"72""","5' 8""",Orthodox
Kristof Midoux,http://ufcstats.com/fighter-details/5b5b9c6f6f270369,"Jul 30, 1974",220 lbs.,--,"6' 1""",Orthodox
Damir Mirenic,http://ufcstats.com/fighter-details/992c82450d96f726,"Aug 02, 1974",185 lbs.,--,"6' 0""",Orthodox
Ho Bae Myeon,http://ufcstats.com/fighter-details/2719f300b0439039,--,168 lbs.,--,"5' 11""",Orthodox
Max Mustaki,http://ufcstats.com/fighter-details/f4c40f8a64d3151d,"Nov 07, 1987",155 lbs.,--,"6' 0""",Orthodox
Fiona Muxlow,http://ufcstats.com/fighter-details/062e57ca1a3c95a8,"May 13, 1977",145 lbs.,--,"5' 4""",
Elvis Mutapcic,http://ufcstats.com/fighter-details/28c55b4087a6f136,"Jul 19, 1986",185 lbs.,"72""","6' 0""",Orthodox
Magomed Mustafaev,http://ufcstats.com/fighter-details/31d7446b184e3305,"Aug 02, 1988",155 lbs.,"71""","5' 8""",Orthodox
Andre Mussi,http://ufcstats.com/fighter-details/d0d43cb9b14f231c,--,242 lbs.,--,"6' 3""",Orthodox
Nicholas Musoke,http://ufcstats.com/fighter-details/8b5f9ea38184ded3,"Apr 05, 1986",170 lbs.,"75""","6' 0""",Orthodox
Azamat Murzakanov,http://ufcstats.com/fighter-details/e90a2f22417af68e,"Apr 12, 1989",205 lbs.,"71""","5' 10""",Southpaw
Khalid Murtazaliev,http://ufcstats.com/fighter-details/231cae8b77fbbcc1,"Jul 15, 1993",185 lbs.,"76""","6' 0""",Orthodox
Jesse Murray,http://ufcstats.com/fighter-details/d0147e906106cd2e,"Jan 26, 1993",205 lbs.,"78""","6' 3""",Orthodox
Lee Murray,http://ufcstats.com/fighter-details/32016899d0a222a3,"Sep 12, 1977",185 lbs.,--,"6' 3""",Orthodox
Lerone Murphy,http://ufcstats.com/fighter-details/396fe87b84ac2e1c,"Jul 22, 1991",145 lbs.,"73""","5' 9""",Orthodox
Patrick Murphy,http://ufcstats.com/fighter-details/eca7e064746c161a,--,170 lbs.,--,"6' 0""",
Lauren Murphy,http://ufcstats.com/fighter-details/729d4bd5a6cd0a97,"Jul 27, 1983",125 lbs.,"67""","5' 5""",Orthodox
Jon Murphy,http://ufcstats.com/fighter-details/1b5c146ee7b86e34,"Aug 09, 1977",260 lbs.,--,"6' 3""",Orthodox
Samandar Murodov,http://ufcstats.com/fighter-details/6f4d199c0adc06f5,"Aug 28, 1999",170 lbs.,"75""","6' 1""",Orthodox
Ian Murphy,http://ufcstats.com/fighter-details/de25520d54eab12d,"Jun 14, 1985",185 lbs.,--,"6' 1""",Orthodox
Tom Murphy,http://ufcstats.com/fighter-details/62918a2118de08b2,"Nov 19, 1974",227 lbs.,--,"6' 2""",Southpaw
Vince Murdock,http://ufcstats.com/fighter-details/4b90384d7c3519b8,"Mar 21, 1991",145 lbs.,"64""","5' 6""",Orthodox
Ailiya Muratbek,http://ufcstats.com/fighter-details/9b6dcc335ad03696,--,155 lbs.,--,--,
Kanako Murata,http://ufcstats.com/fighter-details/e0b0cf71e0d69dd0,"Aug 10, 1993",115 lbs.,"62""","5' 1""",Orthodox
Ryuichi Murata,http://ufcstats.com/fighter-details/e3a6c6d6d0ac0815,--,183 lbs.,--,"5' 8""",Orthodox
Kazunari Murakami,http://ufcstats.com/fighter-details/cfbccfed4e4796fe,"Nov 29, 1973",220 lbs.,--,"6' 1""",Orthodox
Makhmud Muradov,http://ufcstats.com/fighter-details/ea7e5bc78d9de658,"Feb 08, 1990",185 lbs.,"75""","6' 2""",Orthodox
Olivier Murad,http://ufcstats.com/fighter-details/c3dd69333eb8085a,"Dec 21, 1993",145 lbs.,"72""","5' 10""",Southpaw
Andy Murad,http://ufcstats.com/fighter-details/fd0b4e3eb18eafb7,--,185 lbs.,--,"5' 9""",
Johnny Munoz,http://ufcstats.com/fighter-details/f6bcbd91b114ff58,"Feb 16, 1993",135 lbs.,"71""","5' 9""",Orthodox
Alexander Munoz,http://ufcstats.com/fighter-details/f8f1ec513bcfef43,"Feb 27, 1990",155 lbs.,"72""","5' 9""",Switch
Mark Munoz,http://ufcstats.com/fighter-details/179f1948dc234f1f,"Feb 09, 1978",185 lbs.,"71""","6' 0""",Orthodox
Jim Mullen,http://ufcstats.com/fighter-details/1a49e0670dfaca31,--,215 lbs.,--,"6' 1""",Southpaw
Pedro Munhoz,http://ufcstats.com/fighter-details/6bd02119599741a4,"Sep 07, 1986",135 lbs.,"65""","5' 6""",Orthodox
Andre Muniz,http://ufcstats.com/fighter-details/886264a0c9f4ea5e,"Feb 17, 1990",185 lbs.,"78""","6' 1""",Southpaw
James Mulheron,http://ufcstats.com/fighter-details/8d5350fa18b79e9a,"Feb 20, 1988",243 lbs.,"73""","5' 10""",Orthodox
Jamie Mullarkey,http://ufcstats.com/fighter-details/af9f42e6894047fc,"Aug 17, 1994",155 lbs.,"74""","6' 0""",Orthodox
Fazlo Mulabitinovic,http://ufcstats.com/fighter-details/2252b2c892397f0d,--,135 lbs.,--,--,
Lauren Mueller,http://ufcstats.com/fighter-details/f923e012414c883e,"Nov 15, 1991",125 lbs.,"67""","5' 5""",Orthodox
Garrett Mueller,http://ufcstats.com/fighter-details/d0c325dfefdde31f,"Jan 29, 1989",135 lbs.,--,"5' 9""",
Askar Mozharov,http://ufcstats.com/fighter-details/e92901944ce91909,"Oct 26, 1994",205 lbs.,"74""","6' 3""",Orthodox
Belal Muhammad,http://ufcstats.com/fighter-details/b1b0729d27936f2f,"Jul 09, 1988",170 lbs.,"72""","5' 11""",Orthodox
Quinn Mulhern,http://ufcstats.com/fighter-details/16af2d5a6f28bee2,"Sep 20, 1984",155 lbs.,--,"6' 3""",Orthodox
Jamie Moyle,http://ufcstats.com/fighter-details/882d62561063a927,"Mar 17, 1989",115 lbs.,"65""","5' 1""",Orthodox
Kin Moy,http://ufcstats.com/fighter-details/ae922e7d9e852d7a,--,135 lbs.,--,"5' 5""",
Kris Moutinho,http://ufcstats.com/fighter-details/9c27f3217891f3f0,"Aug 09, 1992",135 lbs.,"68""","5' 7""",Southpaw
Nikolas Motta,http://ufcstats.com/fighter-details/37f560436d745c18,"Feb 08, 1993",155 lbs.,"70""","5' 9""",Orthodox
Flavio Luiz Moura,http://ufcstats.com/fighter-details/ab35634d1a8c7a11,--,183 lbs.,--,"5' 11""",Open Stance
Gegard Mousasi,http://ufcstats.com/fighter-details/232c582f29f8f65e,"Aug 01, 1985",185 lbs.,"76""","6' 2""",Orthodox
Carlos Mota,http://ufcstats.com/fighter-details/b15862fcd6ded451,"Apr 15, 1995",125 lbs.,"69""","5' 4""",Orthodox
Harry Moskowitz,http://ufcstats.com/fighter-details/4dc496aa0cfc0d95,--,275 lbs.,--,"6' 5""",Orthodox
Jack Morrison,http://ufcstats.com/fighter-details/38fccd44d669bb2f,--,205 lbs.,--,"5' 11""",
Juan Mott,http://ufcstats.com/fighter-details/5da4e8dc02e50ac0,--,190 lbs.,--,"6' 0""",Switch
Scott Morris,http://ufcstats.com/fighter-details/be9d259be012e8a4,--,210 lbs.,--,"5' 10""",Orthodox
Anthony Morrison,http://ufcstats.com/fighter-details/dab0e6cb8c932162,"Mar 29, 1984",145 lbs.,--,"5' 7""",Orthodox
Brad Morris,http://ufcstats.com/fighter-details/6803d4d6908354ac,"Nov 01, 1979",205 lbs.,--,"6' 2""",Orthodox
Sergey Morozov,http://ufcstats.com/fighter-details/2f6a993c7f547c13,"Jun 14, 1989",135 lbs.,"67""","5' 6""",Orthodox
Alexander Morgan,http://ufcstats.com/fighter-details/938ea36fe9c269f0,"May 14, 1991",145 lbs.,"71""","5' 10""",Orthodox
Maryna Moroz,http://ufcstats.com/fighter-details/b4192a975027aab6,"Sep 08, 1991",125 lbs.,"67""","5' 7""",Orthodox
Alex Morono,http://ufcstats.com/fighter-details/cdb96af67d096b1e,"Aug 16, 1990",170 lbs.,"72""","5' 11""",Orthodox
Sammy Morgan,http://ufcstats.com/fighter-details/2067a177a2842fbf,"Sep 28, 1981",170 lbs.,--,"5' 10""",Orthodox
Peggy Morgan,http://ufcstats.com/fighter-details/92b36014314b028b,"Dec 16, 1979",135 lbs.,--,"6' 1""",
Eduarda Moura,http://ufcstats.com/fighter-details/de594b35c45c2e9a,"Feb 28, 1994",115 lbs.,--,--,
Dan Moret,http://ufcstats.com/fighter-details/66e98b3bb5fc5250,"Nov 21, 1986",155 lbs.,"73""","6' 0""",Southpaw
Mike Moreno,http://ufcstats.com/fighter-details/bb2eee4fb3259c01,--,185 lbs.,--,"6' 0""",
Jesse Moreng,http://ufcstats.com/fighter-details/2e2cdb6e9eb84bb9,"Nov 09, 1979",145 lbs.,--,"5' 7""",Orthodox
Brandon Moreno,http://ufcstats.com/fighter-details/792be9a24df82ed6,"Dec 07, 1993",125 lbs.,"70""","5' 7""",Orthodox
Vinicius Moreira,http://ufcstats.com/fighter-details/acb36c908d415c4a,"Feb 28, 1989",205 lbs.,"76""","6' 4""",Orthodox
Joe Moreira,http://ufcstats.com/fighter-details/df85d6ec3493d120,--,195 lbs.,--,"5' 11""",Southpaw
Gisele Moreira,http://ufcstats.com/fighter-details/6a125ba3ec37e27e,"Jan 14, 1981",135 lbs.,--,"5' 6""",Orthodox
Richardson Moreira,http://ufcstats.com/fighter-details/9147679e1a4ad4a3,"Mar 31, 1984",185 lbs.,--,"6' 2""",Orthodox
Christian Morecraft,http://ufcstats.com/fighter-details/80779d7441af1b52,"Sep 08, 1986",260 lbs.,"81""","6' 6""",Orthodox
Sarah Moras,http://ufcstats.com/fighter-details/539ed332b3078821,"Apr 30, 1988",135 lbs.,"67""","5' 7""",Orthodox
Michael Morales,http://ufcstats.com/fighter-details/c32aeb1a59e6272d,"Jun 24, 1999",170 lbs.,"79""","6' 0""",Orthodox
Omar Morales,http://ufcstats.com/fighter-details/a0e6753c42698f13,"Oct 17, 1985",155 lbs.,"73""","5' 11""",Orthodox
Joseph Morales,http://ufcstats.com/fighter-details/2fe9032955c2e013,"Aug 22, 1994",125 lbs.,"69""","5' 6""",Switch
Albert Morales,http://ufcstats.com/fighter-details/544d7460b3e44393,"May 25, 1991",135 lbs.,"72""","5' 9""",Orthodox
Leonardo Morales,http://ufcstats.com/fighter-details/45230be0641f3f53,"Dec 22, 1992",135 lbs.,--,"5' 8""",Southpaw
Ricardo Morais,http://ufcstats.com/fighter-details/2dc7f1762dc0a7ef,"Feb 26, 1967",270 lbs.,--,"6' 8""",Orthodox
John Moraga,http://ufcstats.com/fighter-details/92437c6775b3f7d1,"Mar 20, 1984",125 lbs.,"66""","5' 6""",Orthodox
Sheymon Moraes,http://ufcstats.com/fighter-details/0d62719b1dcf7c40,"Oct 11, 1990",145 lbs.,"72""","5' 8""",Orthodox
Marlon Moraes,http://ufcstats.com/fighter-details/fea79f9bc8c68769,"Apr 26, 1988",135 lbs.,"67""","5' 6""",Orthodox
Sergio Moraes,http://ufcstats.com/fighter-details/1bcaac2d99b90fce,"Jul 23, 1982",170 lbs.,"72""","6' 0""",Orthodox
Vince Morales,http://ufcstats.com/fighter-details/37098a6e6c27fb66,"Nov 12, 1990",135 lbs.,"70""","5' 9""",Orthodox
Dustin Moore,http://ufcstats.com/fighter-details/831de97afe326478,--,125 lbs.,--,"5' 4""",
Taylor Moore,http://ufcstats.com/fighter-details/26927dab41dbd5fc,"Oct 16, 1993",135 lbs.,"70""","5' 10""",Southpaw
Nate Moore,http://ufcstats.com/fighter-details/518e5202a91980d4,--,170 lbs.,--,"6' 0""",
Todd Moore,http://ufcstats.com/fighter-details/e31502e3f79d00c5,"Dec 30, 1983",170 lbs.,"71""","5' 9""",Southpaw
Homer Moore,http://ufcstats.com/fighter-details/e56df3c1d8b4b1cc,"Nov 27, 1971",205 lbs.,--,"5' 10""",Orthodox
James Moontasri,http://ufcstats.com/fighter-details/c06a9b48d4132c8e,"Apr 10, 1988",170 lbs.,"71""","5' 10""",Switch
Alberto Montes,http://ufcstats.com/fighter-details/a112097ad877a48f,"May 31, 1994",135 lbs.,--,"5' 7""",
Steve Montgomery,http://ufcstats.com/fighter-details/6e92eb1242b46636,"Dec 19, 1990",185 lbs.,--,"6' 4""",Southpaw
Nicco Montano,http://ufcstats.com/fighter-details/1de9ad94de18eeaf,"Dec 16, 1988",135 lbs.,"65""","5' 5""",Southpaw
Erick Montano,http://ufcstats.com/fighter-details/8163cd7de0342652,"Nov 19, 1985",170 lbs.,"73""","6' 0""",Orthodox
Augusto Montano,http://ufcstats.com/fighter-details/94508d80e1f885fc,"Oct 25, 1984",170 lbs.,"73""","6' 1""",Orthodox
Andrew Montanez,http://ufcstats.com/fighter-details/72c9c2eadfc3277e,--,185 lbs.,--,--,
Darrell Montague,http://ufcstats.com/fighter-details/bffeb123b21c9aad,"Nov 03, 1987",125 lbs.,"67""","5' 6""",Southpaw
Rudyard Moncayo,http://ufcstats.com/fighter-details/02d276b7d62b3472,--,195 lbs.,--,"5' 10""",Orthodox
Hidetaka Monma,http://ufcstats.com/fighter-details/a8e133139286df84,"Oct 23, 1973",168 lbs.,--,"6' 0""",Orthodox
Jeff Monson,http://ufcstats.com/fighter-details/cbfd1d34356a004c,"Jan 18, 1971",247 lbs.,"74""","5' 9""",Orthodox
Jeff Molina,http://ufcstats.com/fighter-details/008ea710276c9606,"Jul 17, 1997",125 lbs.,"69""","5' 6""",Orthodox
Dan Molina,http://ufcstats.com/fighter-details/606136dee6f6ecea,"Jun 14, 1984",216 lbs.,--,"5' 10""",
Suman Mokhtarian,http://ufcstats.com/fighter-details/192520689012c7e4,"Jun 13, 1992",145 lbs.,"72""","5' 8""",Orthodox
Ashkan Mokhtarian,http://ufcstats.com/fighter-details/e9bc5748e6a76bb6,"Sep 15, 1985",125 lbs.,"67""","5' 6""",Southpaw
Muhammad Mokaev,http://ufcstats.com/fighter-details/75353550928a7921,"Jul 30, 2000",125 lbs.,"70""","5' 7""",Orthodox
Thiago Moises,http://ufcstats.com/fighter-details/d945aae53e3e54e6,"Mar 23, 1995",155 lbs.,"70""","5' 9""",Orthodox
Renato Moicano,http://ufcstats.com/fighter-details/b6452706b373eea1,"May 21, 1989",155 lbs.,"72""","5' 11""",Orthodox
Bronson Mohika,http://ufcstats.com/fighter-details/65239fccecd03404,--,135 lbs.,--,--,
Nate Mohr,http://ufcstats.com/fighter-details/04c15b52c3cc1cab,"Mar 03, 1983",155 lbs.,"72""","5' 9""",Orthodox
Bobby Moffett,http://ufcstats.com/fighter-details/d76ad9a08c4408ff,"Jun 01, 1990",145 lbs.,"73""","5' 10""",Orthodox
Tatsuya Mizuno,http://ufcstats.com/fighter-details/478c8706bdb92440,"Jun 02, 1981",205 lbs.,--,"6' 1""",Southpaw
Roxanne Modafferi,http://ufcstats.com/fighter-details/4498b382c65a7faa,"Sep 24, 1982",125 lbs.,"69""","5' 7""",Orthodox
Motoki Miyazawa,http://ufcstats.com/fighter-details/9649d75defe0dedb,--,168 lbs.,--,"5' 11""",Southpaw
Takeya Mizugaki,http://ufcstats.com/fighter-details/48e093ea1f43a053,"Dec 16, 1983",135 lbs.,"69""","5' 7""",Orthodox
Jonathan  Mix,http://ufcstats.com/fighter-details/f64e4ecd214c6378,"Nov 09, 1980",168 lbs.,--,"6' 0""",
Kazuyuki Miyata,http://ufcstats.com/fighter-details/af70d268e5352186,--,139 lbs.,--,"5' 8""",Orthodox
Hiromitsu Miura,http://ufcstats.com/fighter-details/509697e08673d2e5,"Sep 22, 1981",170 lbs.,"71""","5' 9""",Orthodox
Tomoya Miyashita,http://ufcstats.com/fighter-details/c9885b1b7c7055a0,--,139 lbs.,--,"5' 7""",Southpaw
Eiji Mitsuoka,http://ufcstats.com/fighter-details/2b4faacc16d66898,"Jan 01, 1976",145 lbs.,--,"5' 7""",Southpaw
Terrence Mitchell,http://ufcstats.com/fighter-details/f3ca6908f78efebe,"Dec 30, 1989",135 lbs.,"74""","5' 10""",Orthodox
Roman Mitichyan,http://ufcstats.com/fighter-details/2961be02cfb0d2c1,"Sep 04, 1978",170 lbs.,--,"5' 10""",Orthodox
Matt Mitrione,http://ufcstats.com/fighter-details/ba280572acfba13f,"Jul 15, 1978",265 lbs.,"82""","6' 3""",Switch
Maurice Mitchell,http://ufcstats.com/fighter-details/568bebed6366b667,"Jun 29, 1987",145 lbs.,--,"5' 9""",Orthodox
Bryce Mitchell,http://ufcstats.com/fighter-details/d9c6f19f958643e9,"Oct 04, 1994",145 lbs.,"70""","5' 10""",Southpaw
Brad Mitchell,http://ufcstats.com/fighter-details/7263e0dc082adc87,"Oct 10, 1974",145 lbs.,--,"5' 11""",
Clay Mitchell,http://ufcstats.com/fighter-details/3d960455f880bb25,--,185 lbs.,--,"6' 2""",
Danny Mitchell,http://ufcstats.com/fighter-details/c06d554ce1713fd3,"Aug 08, 1986",170 lbs.,--,"6' 2""",Orthodox
Felix Lee Mitchell,http://ufcstats.com/fighter-details/6cbb7661c3258617,--,--,--,--,Orthodox
David Mitchell,http://ufcstats.com/fighter-details/8f3df4c579cfbb69,"Oct 24, 1979",170 lbs.,"75""","6' 0""",Orthodox
Dokonjonosuke Mishima,http://ufcstats.com/fighter-details/b14a68c533f4a4aa,"Apr 19, 1972",155 lbs.,--,"5' 7""",Southpaw
Toby Misech,http://ufcstats.com/fighter-details/3f87218a7aca84c4,"Mar 07, 1988",145 lbs.,--,"5' 8""",Southpaw
Gabriel Miranda,http://ufcstats.com/fighter-details/b909a9a9688b5284,"Mar 25, 1990",145 lbs.,"71""","5' 11""",Orthodox
Kazuo Misaki,http://ufcstats.com/fighter-details/5e7a28f20927d64a,"Apr 25, 1976",183 lbs.,--,"5' 8""",Orthodox
Juan Miranda,http://ufcstats.com/fighter-details/be8ad887e4d674b0,--,155 lbs.,--,--,
Mario Miranda,http://ufcstats.com/fighter-details/df2bf09c99594848,"Jul 12, 1979",185 lbs.,"74""","6' 3""",Orthodox
Vitor Miranda,http://ufcstats.com/fighter-details/4bcb6eb12b4ad4aa,"Mar 10, 1979",185 lbs.,"77""","6' 1""",Orthodox
Carlton Minus,http://ufcstats.com/fighter-details/40d8b74488743800,"Apr 26, 1993",170 lbs.,"75""","5' 10""",Orthodox
Stipe Miocic,http://ufcstats.com/fighter-details/d28dee5c705991df,"Aug 19, 1982",240 lbs.,"80""","6' 4""",Orthodox
Frank Mir,http://ufcstats.com/fighter-details/1ff9589f9065a9ed,"May 24, 1979",264 lbs.,"79""","6' 3""",Southpaw
Mike Minniger,http://ufcstats.com/fighter-details/c8aa3541bec4042e,--,--,--,--,
Darrick Minner,http://ufcstats.com/fighter-details/34e516ab361afb1c,"Apr 28, 1990",145 lbs.,"69""","5' 7""",Orthodox
Alberto Mina,http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,"May 02, 1982",170 lbs.,"77""","6' 0""",Orthodox
Ikuhisa Minowa,http://ufcstats.com/fighter-details/ce6065baef021cf3,"Jan 12, 1976",181 lbs.,--,"5' 9""",Orthodox
Eddy Millis,http://ufcstats.com/fighter-details/f2c934689243fe4e,--,185 lbs.,--,"6' 1""",
Adam Milstead,http://ufcstats.com/fighter-details/72ffecf712673af1,"Jul 03, 1987",205 lbs.,"76""","6' 3""",Orthodox
Che Mills,http://ufcstats.com/fighter-details/6cadfd8f1d9e7685,"Sep 29, 1982",170 lbs.,"76""","6' 1""",Orthodox
Juliana Miller,http://ufcstats.com/fighter-details/aa0c573da7119292,"May 07, 1996",125 lbs.,"66""","5' 7""",Orthodox
Aaron Miller,http://ufcstats.com/fighter-details/a4d055f1435d6d75,--,145 lbs.,--,"5' 9""",
Vitaly Minakov,http://ufcstats.com/fighter-details/56c975c4a2b357a5,"Feb 06, 1985",249 lbs.,--,"6' 2""",
Henry Miller,http://ufcstats.com/fighter-details/45a2ba3ef82b9700,"Jul 16, 1969",270 lbs.,--,"5' 7""",Southpaw
Dan Miller,http://ufcstats.com/fighter-details/d0c29452d3272603,"Jun 30, 1981",185 lbs.,"74""","6' 1""",Orthodox
Cole Miller,http://ufcstats.com/fighter-details/282fa667ff9c51ed,"Apr 26, 1984",145 lbs.,"73""","6' 1""",Orthodox
Jim Miller,http://ufcstats.com/fighter-details/d1941565abf50b16,"Aug 30, 1983",155 lbs.,"71""","5' 8""",Southpaw
Phillip Miller,http://ufcstats.com/fighter-details/18aecaf50f52e4c3,"Feb 20, 1979",185 lbs.,--,"5' 11""",Orthodox
Curtis Millender,http://ufcstats.com/fighter-details/f1928a52590c5532,"Dec 01, 1987",170 lbs.,"76""","6' 2""",Orthodox
Pat Miletich,http://ufcstats.com/fighter-details/cedfdf8d423d500c,"Mar 09, 1968",170 lbs.,--,"5' 10""",Orthodox
Billy Miles,http://ufcstats.com/fighter-details/3c48019bc387b80c,"Apr 28, 1978",170 lbs.,--,"5' 10""",Orthodox
Bojan Mihajlovic,http://ufcstats.com/fighter-details/d6285cba1d1052e0,"Mar 30, 1980",205 lbs.,"73""","5' 11""",Orthodox
Chris Mierzwiak,http://ufcstats.com/fighter-details/2b284840ca89876a,"Feb 14, 1988",185 lbs.,--,"6' 1""",
Keith Mielke,http://ufcstats.com/fighter-details/f62850b3c7480db9,--,185 lbs.,--,"5' 8""",
Zachary Micklewright,http://ufcstats.com/fighter-details/a36a14985a57a1c6,"Aug 21, 1976",155 lbs.,"74""","6' 0""",Southpaw
Micah Miller,http://ufcstats.com/fighter-details/3ff0d0dc7a14bb50,"Feb 14, 1987",145 lbs.,--,"6' 0""",Orthodox
Chris Mickle,http://ufcstats.com/fighter-details/f903967fd320da38,"Jul 10, 1983",145 lbs.,--,"5' 9""",Orthodox
David Michaud,http://ufcstats.com/fighter-details/49f4b511932f71e9,"Nov 10, 1988",155 lbs.,--,"5' 9""",Orthodox
Andreas Michailidis,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4,"Jul 18, 1988",170 lbs.,"76""","6' 0""",Orthodox
Gabriel Miglioli,http://ufcstats.com/fighter-details/a6fa5dd90528e9f7,--,170 lbs.,--,"5' 8""",
Jason Miller,http://ufcstats.com/fighter-details/b2f88c04c4dd43ce,"Dec 24, 1980",185 lbs.,--,"6' 1""",Orthodox
Brandon Michaels,http://ufcstats.com/fighter-details/f5e4ce11afbdfb61,--,185 lbs.,--,"5' 9""",
Yaotzin Meza,http://ufcstats.com/fighter-details/3623bd267a2eef2e,"Feb 04, 1981",145 lbs.,"71""","5' 9""",Orthodox
Guy Mezger,http://ufcstats.com/fighter-details/946f341df6472ee0,"Jan 01, 1968",200 lbs.,--,"6' 1""",Orthodox
Jonathan Meunier,http://ufcstats.com/fighter-details/5823ceab56741617,"Aug 04, 1987",170 lbs.,--,"6' 3""",Switch
Jeremiah Metcalf,http://ufcstats.com/fighter-details/5bdcbd8dd681a257,--,185 lbs.,--,"6' 1""",Orthodox
Nick Meregali,http://ufcstats.com/fighter-details/2f6dc878d653c442,--,--,--,--,
Joe Merritt,http://ufcstats.com/fighter-details/e82d5f54daa85a7e,"Mar 07, 1984",170 lbs.,--,"6' 0""",Orthodox
Adam Meredith,http://ufcstats.com/fighter-details/c1135a6892e916db,--,170 lbs.,--,"6' 2""",
Steve Mensing,http://ufcstats.com/fighter-details/3bc27ec15facbcf3,"Dec 06, 1977",185 lbs.,--,"5' 11""",Orthodox
Buck Meredith,http://ufcstats.com/fighter-details/36120738148f203f,"May 17, 1982",185 lbs.,--,"6' 2""",
Dave Menne,http://ufcstats.com/fighter-details/275cafc9de131c83,"Jul 29, 1974",170 lbs.,--,"5' 10""",Orthodox
Ivan Menjivar,http://ufcstats.com/fighter-details/5755960ebd0b16f6,"May 30, 1982",145 lbs.,"64""","5' 6""",Orthodox
